tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,averageRating,numVotes,imdbTop250Rank,letterboxdSlug,letterboxdUrl,letterboxdRatingOutOf5
tt0083658,movie,Blade Runner,Blade Runner,0,1982,,117,"Action,Drama,Sci-Fi",8.1,876481,196,blade-runner,https://letterboxd.com/film/blade-runner/,4.1
tt0892769,movie,How to Train Your Dragon,How to Train Your Dragon,0,2010,,98,"Action,Adventure,Animation",8.1,885105,197,how-to-train-your-dragon,https://letterboxd.com/film/how-to-train-your-dragon/,4.13
tt10872600,movie,Spider-Man: No Way Home,Spider-Man: No Way Home,0,2021,,148,"Action,Adventure,Fantasy",8.1,1004483,198,spider-man-no-way-home,https://letterboxd.com/film/spider-man-no-way-home/,3.83
tt2267998,movie,Gone Girl,Gone Girl,0,2014,,149,"Drama,Mystery,Thriller",8.1,1159255,199,gone-girl,https://letterboxd.com/film/gone-girl/,4.07
tt0198781,movie,"Monsters, Inc.","Monsters, Inc.",0,2001,,92,"Adventure,Animation,Comedy",8.1,1065583,200,monsters-inc,https://letterboxd.com/film/monsters-inc/,4.08
tt0073195,movie,Jaws,Jaws,0,1975,,124,"Adventure,Horror,Thriller",8.1,731153,201,jaws,https://letterboxd.com/film/jaws/,3.93
tt0107207,movie,In the Name of the Father,In the Name of the Father,0,1993,,133,"Biography,Crime,Drama",8.1,201638,202,in-the-name-of-the-father-1993,https://letterboxd.com/film/in-the-name-of-the-father-1993/,4.2
tt1950186,movie,Ford v Ferrari,Ford v Ferrari,0,2019,,152,"Action,Biography,Drama",8.1,562494,203,ford-v-ferrari,https://letterboxd.com/film/ford-v-ferrari/,4.02
tt3011894,movie,Wild Tales,Relatos salvajes,0,2014,,122,"Comedy,Drama,Thriller",8.1,236452,204,wild-tales,https://letterboxd.com/film/wild-tales/,4.14
tt0015864,movie,The Gold Rush,The Gold Rush,0,1925,,95,"Adventure,Comedy,Drama",8.1,127523,205,the-gold-rush,https://letterboxd.com/film/the-gold-rush/,4.15
tt0978762,movie,Mary and Max,Mary and Max.,0,2009,,92,"Animation,Comedy,Drama",8.1,200758,206,mary-and-max,https://letterboxd.com/film/mary-and-max/,4.26
tt0015324,movie,Sherlock Jr.,Sherlock Jr.,0,1924,,45,"Action,Comedy,Romance",8.1,65102,207,sherlock-jr,https://letterboxd.com/film/sherlock-jr/,4.37
tt0077416,movie,The Deer Hunter,The Deer Hunter,0,1978,,183,"Drama,War",8.1,384827,208,the-deer-hunter,https://letterboxd.com/film/the-deer-hunter/,4.21
tt0046268,movie,The Wages of Fear,Le salaire de la peur,0,1953,,156,"Adventure,Drama,Thriller",8.1,73019,209,the-wages-of-fear,https://letterboxd.com/film/the-wages-of-fear/,4.36
tt0017925,movie,The General,The General,0,1926,,78,"Action,Adventure,Comedy",8.1,105623,210,the-general,https://letterboxd.com/film/the-general/,4.2
tt3315342,movie,Logan,Logan,0,2017,,137,"Action,Drama,Sci-Fi",8.1,918692,211,logan-2017,https://letterboxd.com/film/logan-2017/,4.12
tt0075148,movie,Rocky,Rocky,0,1976,,120,"Drama,Sport",8.1,683140,212,rocky,https://letterboxd.com/film/rocky/,4.1
tt0031679,movie,Mr. Smith Goes to Washington,Mr. Smith Goes to Washington,0,1939,,129,"Comedy,Drama",8.1,128904,213,mr-smith-goes-to-washington,https://letterboxd.com/film/mr-smith-goes-to-washington/,4.13
tt0047296,movie,On the Waterfront,On the Waterfront,0,1954,,108,"Crime,Drama,Thriller",8.1,176869,214,on-the-waterfront,https://letterboxd.com/film/on-the-waterfront/,4.17
tt0046438,movie,Tokyo Story,Tôkyô monogatari,0,1953,,137,Drama,8.1,77027,215,tokyo-story,https://letterboxd.com/film/tokyo-story/,4.43
