tconst,titleType,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,averageRating,numVotes,imdbTop250Rank,letterboxdUrl,letterboxdRatingOutOf5,rottenTomatoesPercent,metacriticScore,metacriticUserScore
tt0019254,movie,The Passion of Joan of Arc,La passion de Jeanne d'Arc,1928,114,"Biography,Drama,History",8.1,67646,241,https://letterboxd.com/film/the-passion-of-joan-of-arc/,4.43,98.0,98.0,
tt0476735,movie,My Father and My Son,Babam ve Oglum,2005,112,"Drama,Family",8.2,100145,242,https://letterboxd.com/film/my-father-and-my-son/,3.95,,,
tt0058946,movie,The Battle of Algiers,La battaglia di Algeri,1966,121,"Drama,War",8.1,74892,243,https://letterboxd.com/film/the-battle-of-algiers/,4.45,99.0,96.0,
tt4016934,movie,The Handmaiden,Ah-ga-ssi,2016,145,"Drama,Romance,Thriller",8.1,200278,244,https://letterboxd.com/film/the-handmaiden/,4.39,96.0,85.0,
tt0074958,movie,Network,Network,1976,121,Drama,8.1,184846,245,https://letterboxd.com/film/network/,4.26,90.0,83.0,
tt0035446,movie,To Be or Not to Be,To Be or Not to Be,1942,99,"Comedy,Romance,War",8.1,49452,246,https://letterboxd.com/film/to-be-or-not-to-be/,4.33,96.0,86.0,
tt1954470,movie,Gangs of Wasseypur,Gangs of Wasseypur,2012,321,"Action,Comedy,Crime",8.2,113223,247,https://letterboxd.com/film/gangs-of-wasseypur-part-1/,4.04,94.0,89.0,
tt4430212,movie,Drishyam,Drishyam,2015,163,"Crime,Drama,Mystery",8.2,107497,248,https://letterboxd.com/film/drishyam-2015/,3.82,78.0,,
tt0032551,movie,The Grapes of Wrath,The Grapes of Wrath,1940,129,Drama,8.1,107878,249,https://letterboxd.com/film/the-grapes-of-wrath/,4.19,100.0,96.0,
tt1454029,movie,The Help,The Help,2011,146,Drama,8.1,525605,250,https://letterboxd.com/film/the-help/,3.93,75.0,62.0,
